Particle Filename,Center X,Center Y,Radius
particle_189.png,849,503,40
particle_190.png,743,365,37
particle_191.png,931,464,36
particle_192.png,221,883,34
particle_193.png,140,795,32
particle_194.png,77,449,27
particle_195.png,424,187,49
particle_196.png,860,629,49
particle_197.png,883,191,44
particle_198.png,230,633,43
particle_199.png,476,191,39
particle_200.png,903,205,36
particle_201.png,13,437,36
particle_202.png,121,337,35
particle_203.png,484,886,31
particle_204.png,772,476,31
particle_205.png,763,218,31
particle_206.png,550,693,28
particle_207.png,931,161,28
particle_208.png,693,118,25
particle_209.png,352,587,21
particle_210.png,931,497,20
particle_211.png,153,271,40
particle_212.png,227,983,40
particle_213.png,38,919,40
particle_214.png,116,37,37
particle_215.png,167,211,36
particle_216.png,881,511,33
particle_217.png,638,521,32
particle_218.png,905,31,28
particle_219.png,581,261,28
particle_220.png,163,884,25
particle_221.png,814,712,23
particle_222.png,506,91,22
particle_223.png,105,937,21
particle_224.png,176,232,19
particle_225.png,807,489,18
particle_226.png,230,459,49
particle_227.png,793,235,49
particle_228.png,965,184,49
particle_229.png,818,657,48
particle_230.png,953,259,48
particle_231.png,959,977,47
particle_232.png,491,247,43
particle_233.png,595,495,41
particle_234.png,609,928,39
particle_235.png,671,29,37
particle_236.png,111,361,36
particle_237.png,61,651,29
particle_238.png,519,526,28
particle_239.png,779,148,21
particle_240.png,673,605,16
particle_241.png,885,479,49
particle_242.png,85,1003,43
particle_243.png,517,327,43
particle_244.png,770,682,37
particle_245.png,673,934,33
particle_246.png,796,16,29
particle_247.png,451,350,29
particle_248.png,580,200,22
particle_249.png,75,257,21
particle_250.png,64,109,21
particle_251.png,727,94,21
particle_252.png,635,501,49
particle_253.png,730,415,49
particle_254.png,363,392,45
particle_255.png,365,778,43
particle_256.png,157,407,41
particle_257.png,971,529,39
particle_258.png,117,902,37
particle_259.png,910,92,33
particle_260.png,165,699,31
particle_261.png,47,982,30
particle_262.png,382,1049,27
particle_263.png,539,47,24
particle_264.png,170,625,48
particle_265.png,191,681,43
particle_266.png,724,251,43
particle_267.png,831,494,43
particle_268.png,635,1037,37
particle_269.png,563,302,36
particle_270.png,679,424,24
particle_271.png,925,622,20
particle_272.png,112,872,49
particle_273.png,280,905,49
particle_274.png,619,658,48
particle_275.png,583,745,40
particle_276.png,1005,241,34
particle_277.png,753,868,26
particle_278.png,89,844,23
particle_279.png,404,80,19
particle_280.png,73,188,49
particle_281.png,317,833,48
particle_282.png,476,225,47
particle_283.png,437,1039,35
particle_284.png,946,34,34
particle_285.png,477,467,28
particle_286.png,719,685,27
particle_287.png,609,1047,25
particle_288.png,112,686,21
particle_289.png,153,382,21
particle_290.png,485,137,47
particle_291.png,877,959,40
particle_292.png,248,352,40
particle_293.png,407,112,39
particle_294.png,796,400,31
particle_295.png,511,844,23
particle_296.png,927,974,22
particle_297.png,404,166,21
particle_298.png,269,879,20
particle_299.png,279,975,19
particle_300.png,566,406,49
particle_301.png,635,995,49
particle_302.png,377,229,44
particle_303.png,533,99,44
particle_304.png,39,943,37
particle_305.png,136,1015,35
particle_306.png,842,524,26
particle_307.png,172,427,49
particle_308.png,404,475,47
particle_309.png,602,909,45
particle_310.png,962,143,43
particle_311.png,619,425,37
particle_312.png,819,440,36
particle_313.png,23,279,35
particle_314.png,323,291,33
particle_315.png,57,557,33
particle_316.png,266,778,28
particle_317.png,980,976,28
particle_318.png,346,238,25
particle_319.png,640,308,22
particle_320.png,199,755,39
particle_321.png,395,1069,39
particle_322.png,789,104,31
particle_323.png,956,458,27
particle_324.png,470,939,26
particle_325.png,753,694,25
particle_326.png,219,614,21
particle_327.png,423,33,20
particle_328.png,223,347,15
particle_329.png,391,506,12
particle_330.png,739,4,47
particle_331.png,109,836,43
particle_332.png,101,502,37
particle_333.png,23,319,32
particle_334.png,256,567,31
particle_335.png,616,166,28
particle_336.png,299,245,22
particle_337.png,545,122,16
particle_338.png,964,77,49
particle_339.png,717,507,48
particle_340.png,275,557,45
particle_341.png,111,783,41
particle_342.png,121,310,37
particle_343.png,88,159,35
particle_344.png,430,848,31
particle_345.png,520,351,24
particle_346.png,251,112,22
particle_347.png,87,670,21
particle_348.png,847,661,20
particle_349.png,895,707,48
particle_350.png,647,771,43
particle_351.png,499,11,37
particle_352.png,958,487,36
particle_353.png,742,327,36
particle_354.png,1004,715,33
particle_355.png,709,619,32
particle_356.png,299,915,28
particle_357.png,140,653,27
particle_358.png,742,283,26
particle_359.png,373,421,21
particle_360.png,290,284,49
particle_361.png,650,795,44
particle_362.png,177,842,43
particle_363.png,875,697,40
particle_364.png,19,1009,40
particle_365.png,743,941,38
particle_366.png,121,214,37
particle_367.png,193,995,37
particle_368.png,688,1067,34
particle_369.png,98,399,32
particle_370.png,242,919,29
particle_371.png,985,391,25
particle_372.png,39,877,24
